ID;name;lat;lon;country;demand
c1;Portland ;45.5202471;-122.674194;United States;550
c2;Savannah;32.0564572;-81.0951271;United States;650
c3;Indianapolis;39.7683331;-86.1583502;United States;700
c4;Minneapolis;44.9772995;-93.2654692;United States;350
c5;Harrisburg ;40.2663107;-76.8861122;United States;700
c6;Nashville;36.1622767;-86.7742984;United States;700
c7;Albuquerque;35.0841034;-106.650985;United States;400
c8;Mobile;30.6867339;-88.0848929;United States;500
c9;Little Rock;34.7465071;-92.2896267;United States;500
c10;Phoenix;33.4484367;-112.074141;United States;700
c11;Jacksonville;30.3321838;-81.655651;United States;300
c12;Orlando;28.5421109;-81.3790304;United States;600
c13;New Orleans;29.9759983;-90.0782127;United States;350
c14;Eugene ;44.052071;-123.086754;United States;300
c15;Charleston;32.7884363;-79.9399309;United States;300
c16;Lousville;40.83235615;-81.27122505;United States;300
c17;Frederick;39.2127031;-78.279166;United States;700
c18;Lansing;42.7337712;-84.5553805;United States;300
c19;Springfield;39.7990175;-89.6439575;United States;600
c20;Hattiesburg;31.3271189;-89.2903392;United States;500
c21;Las Vegas;36.1672559;-115.148516;United States;300
c22;Cleveland;41.4764;-81.6805;United States;500
c23;Akron;41.0798;-81.5219;United States;700
c24;Salt Lake City;40.77449873;-111.9489832;United States;450
c25;Tucson;32.1541;-110.879;United States;400
c26;Cheyenne;41.135;-104.7902;United States;515
c27;Casper;42.842;-106.3208;United States;530
c28;Boulder;40.0248;-105.2524;United States;545
c29;Twin Falls;42.5645;-114.4613;United States;560
c30;Fort Collins;40.5477;-105.0656;United States;500
